source,qid,query,p_at_10,rank_1_doc_id,rank_2_doc_id,rank_3_doc_id,rank_4_doc_id,rank_5_doc_id,rank_6_doc_id,rank_7_doc_id,rank_8_doc_id,rank_9_doc_id,rank_10_doc_id,rank_1_snippet,rank_2_snippet,rank_3_snippet,rank_4_snippet,rank_5_snippet,rank_6_snippet,rank_7_snippet,rank_8_snippet,rank_9_snippet,rank_10_snippet
MS MARCO,558263,what are endotoxins?,0.0000,7890876,519921,7422739,953826,4683692,4683689,7422736,7422742,6246537,467617,"endotoxin. a heat-stable toxin associated with the outer membranes of certain gram-negative bacteria, including Brucella, Neisseria, and Vibrio specie",Endotoxin is a complex lipopolysaccharide (LPS) found in the outer cell membrane of gram-negative bacteria. Endotoxins consist of a core polysaccharid,"About Endotoxins. Endotoxins, which occur in the outer membrane of certain gram-negative bacteria, are not secreted but are released only when the cel","Endotoxins, also known as lipopolysaccharides or LPS, are cell membrane components of Gram-negative bacteria (e.g., E. coli).The lipid portion of the ","endotoxin. a heat-stable toxin associated with the outer membranes of certain gram-negative bacteria, including Brucella, Neisseria, and Vibrio specie","endotoxin. a heat-stable toxin associated with the outer membranes of certain gram-negative bacteria, including Brucella, Neisseria, and Vibrio specie","Endotoxin, toxic substance bound to the bacterial cell wall and released when the bacterium ruptures or disintegrates. Endotoxins consist of lipopolys",Definition of Endotoxin. Endotoxin is a form of sugar. It is a structure composed of lipids and sugar complexes. This structure is called a lipopolysa,Endotoxins: Definition: Endotoxins are lipopolysaccharides toxin produced by Gram Negative bacteria. The name endotoxin is derived from the fact that ,"endotoxin (enÂ´dÅtokÂ´sin), n a nondiffusible lipid polysaccharide-polypeptide complex formed within bacteria (some gram-negative bacilli and others)"
MS MARCO,955093,when the irs accepts your return,0.0000,3851976,3339361,8259484,1933117,8259485,1933118,5513878,5501,3854772,8195552,"IRS Acceptance. Your tax return should be accepted by the IRS soon after you submit it. Initially, you will receive notification that your return has ","Generally tax returns are accepted by the IRS within a day or two of the return having been electronically filed with the IRS. In most cases, the IRS ","Generally tax returns are accepted by the IRS when the tax return is received by the IRS. In most cases, the IRS DRT is available within 8-11 weeks af","1 Generally tax returns are accepted by the IRS when the tax return is received by the IRS. 2  In most cases, the IRS DRT is available within 8-11 wee","Generally tax returns are accepted by the IRS within a day or two of the return having been electronically filed with the IRS. In most cases, the IRS ","Generally tax returns are accepted by the IRS within a day or two of the return having been electronically filed with the IRS. In most cases, the IRS ","1 Generally tax returns are accepted by the IRS within a day or two of the return having been electronically filed with the IRS. 2  In most cases, the","You might learn that the IRS has accepted your income tax return within days of filing or after a few weeks, depending on how you file. The Internal R","1 Generally tax returns are accepted by the IRS within a day or two of the return having been electronically filed with the IRS. 2  In most cases, the","When will the IRS start accepting e-filed returns? The IRS will begin accepting e-file returns on January 29, 2018. (A few returns will be processed u"
MS MARCO,513779,thailand weather in dec,0.0000,4644717,4644719,7429889,2219121,6736868,7257181,4644722,4644720,4644716,2219120,Guide to Thailand weather in December The average maximum daytime temperature in Thailand in December is a hot 31Â°C (88Â°F) with high heat & humidity,Weather in Thailand in December 2017. Expect 31Â°C daytime maximum temperatures in the shade with on average 8 hours of sunshine per day in Thailand i,"Thailand Weather in December. With Thailand in the cool season, humidity levels in December tend to be lower which makes sight-seeing and exploring a ",Thailand weather map. December is high to peak season in Thailand and one of the reasons that is the case is because the weather is brilliant. Lots of,Thailand weather map. Introduction. December is high to peak season in Thailand and one of the reasons that is the case is because the weather is bril,Thailand weather map. Introduction. December is high to peak season in Thailand and one of the reasons that is the case is because the weather is bril,"Despite the rain, December can be very busy, especially on Ko Tao and Ko Pha Ngan. Southwest Thailand. More glorious weather â and the crowds flock ",The December weather averages shown below are for Bangkok. 1  Thailand weather overview. 2  Thailand monthly weather. 3  Thailand 5-day forecast. 4  T,"Where is the best place to visit Thailand in December? An overview of the weather for Thailand in December, including a map showing where the best wea","Weather in Thailand in January. January is one of the best months of the year to visit Thailand. The weather is hot, sunny and dry in most parts â t"
MS MARCO,1085674,"what county is beloit, wi in",0.0000,1714122,851356,851353,1714124,7117069,1714119,7071142,851358,851362,7117070,"Town Of Beloit, WI. The Town Of Beloit is a County Subdivision of Rock County. The subdivision has a T1 Census Class Code which indicates that the Tow","Sponsored Topics. Beloit is a city in Rock County, Wisconsin, United States. As of the 2010 census, Beloit had a population of 36,966. The greater Bel","This article is about the city. For the adjacent town, see Beloit (town), Wisconsin. Beloit is a city in Rock County, Wisconsin, United States. As of ","Beloit, Wisconsin. This article is about the city. For the adjacent town, see Beloit (town), Wisconsin. Beloit is a city in Rock County, Wisconsin, Un","Beloit Genealogy (in Rock County, WI) USA (603,054) > Wisconsin (12,595) > Rock County (399) > Beloit (68) Note: This page primarily lists records kep","Town of Beloit Municipal Court. Town of Beloit Municipal Court is located in Rock county in Wisconsin. The court address is 2871 South Afton Road, Bel","Beloit, WI City Data Beloit, WI is a city with great restaurants, attractions, history and people. There are around 35,775 people who live in Beloit a","For Sale | Get Prequalified Today 4300 E County Road S, Beloit, WI, 53511.","2011 Report Series. The Status of Women in Wisconsin Counties. Beloit & Rock County, WI. Highlights. ï·ï  The City of Beloit is home to more than 19",Green County Circuit Court 1016 16th Avenue Monroe WI 53566 32.1 miles from Beloit 608-328-9433. Stephenson County Court 15 North Galena Avenue Freepo
MS MARCO,12903,age discrimination in the workplace cases,0.0000,5616084,7538286,937044,195107,2888222,5642761,6381284,6303946,4513265,195106,An employee must be at least 40 years of age under federal and Pennsylvania law to be protected. A typical age discrimination case may involve an empl,"- Definition, Cases & Examples. Age discrimination in the workplace happens when a person's age is unfairly used as a factor in his or her employment.",Age Discrimination Basics. The Age Discrimination in Employment Act (ADEA) prohibits workplace discrimination based on age against those who are at le,A. The Age Discrimination in Employment Act of 1967 (ADEA) offers protection to employees and applicant who are 40 years of age or older from the impr,The Age Discrimination in Employment Act (ADEA) prohibits discriminating against workers 40 years old and older because of their age. Many states also,"Age Discrimination. Generally, discriminating on the basis of age in the workplace is illegal under both the Federal Age Discrimination in Employment ",Age discrimination in the workplace happens when a person's age is unfairly used as a factor in his or her employment. The Age Discrimination in Emplo,"Age discrimination in the workplace is the practice of letting a person's age unfairly become a factor when deciding who receives a new job, a promoti",Age Discrimination in Employment. Workplace discrimination is the most common type of age discrimination. Many older workers suffer an age discriminat,Identifying Age Discrimination in the Workplace. It can be difficult to determine whether youâve been the victim of age discrimination in the workpl
Student,student_1,What causes inflation in an economy?,N/A (no qrels),7672325,870327,6651222,639602,8633704,4703819,6555171,870331,8027604,639605,"So what exactly causes inflation in an economy? There is not a single, agreed-upon answer, but there are a variety of theories, all of which play some","Generally, inflation takes place in an economy when demand for goods and services exceeds the supply of output. Therefore, causes of inflation have tw",Inflation means there is a sustained increase in the price level. The main causes of inflation are either excess aggregate demand (economic growth too,"Inflation, by definition, is an increase in the price of goods and services within an economy. Itâs caused due to an imbalance in the goods and buye","Inflation, caused by supply and demand, is an increase in the price of a basket of goods and services that is representative of the economy as a whole","The Two Primary Causes of a High Inflation Rate. In most cases, and in most countries at most times, there are two primary drivers of a high rate of i","A sustained rise in prices is known as inflation. A large rise in prices / higher inflation rate is often caused by economic growth. However, there ar",What causes inflation is also a key argument in economic theory. Some economists believe that there are different types of inflation â cost-push and,Economists distinguish between two types of inflation: Demand-Pull Inflation and Cost-Push Inflation. Both types of inflation cause an increase in the,"Inflation is often defined as a sustained increase in prices for a broad range of goods. Economists explain that rising prices are the symptom, howeve"
Student,student_2,How does the immune system fight viruses?,N/A (no qrels),4744876,2468893,8174414,4162911,6136247,5369086,1122819,7069079,2174710,8084667,"how does the immune system fight an invasion. First, a macrophage determines that these viruses are the enemy and moves in toward one of the invaders.","The immune system normally protects the body from viruses and bacteria by producing antibodies to fight them. In an allergic reaction, the immune syst","Immune System. The immune system fights infection caused by the flu and other viruses, bacteria, fungi and parasites. According to Harrisonâs Princi","A , Neurology, answered. The immune system is the body's protection against invasion of antigens such as bacteria, viruses, pollen, additives, certain","A Dr. Louis Rosner , Neurology, answered. The immune system is the body's protection against invasion of antigens such as bacteria, viruses, pollen, a","Insomnia, Stress and Immune System Save this for later. by Sandra Reichstetter Ph.D. The immune system is the bodyâs defense system that fights off ","The body relies on its immune system to fight invaders called antigens, which include bacteria, viruses and allergens. White blood cells attack these ","Fortunately our immune systems can fight off many viruses, but some, like Ebola or even influenza, can be deadly. It may then surprise you to learn th","Normally, the immune system (the body's defence against invaders) protects the body from infection and foreign substances such as bacteria and viruses",Your immune system protects you from the disease by fighting off the invading germs. How does the immune system work? Your immune system is always on 
Student,student_3,What are the main causes of the American Civil War?,N/A (no qrels),8185445,8360133,4701347,8185448,280278,4015906,6833055,6429134,439938,8360131,The origins of the Civil War actually do surprise many when they get to read and understand what actually caused Americans to fight one another so lon,This paper studies the causes of the American Civil War. There were many other factors that played an important role in the Civil War but most histori,"What the real reason behind the American Civil War? People say that the main cause is slavery, but that doesn't make sense why would the north sacrifi",What were the key causes of the American Civil War? Uncle Tom's Cabin By Harriet Beecher Stowe was definatley a cause of the Civil War. It stirred up ,What was the main cause of death in the Civil War? The main cause of death in the Civil War was disease because of the unsanitary conditions in hospit,Causes of the American Civil War Essay - Causes of the American Civil War The American Civil War was a military conflict between the United States of ,"The question, âWhat caused the U.S. Civil War?â has been debated since the horrific conflict ended in 1865. As with most wars, however, there was ",The period between 1861 and 1865 is referred to as the Civil War in the American history. It was fought between the Southern states--the Confederation,What event marked the beginning of the US Civil War? The main cause of the Civil War has been debated for years. The first military action was Confede,Slavery and the Causes of the American Civil War. The Sesquicentennial offers a chance to open a dialogue about one of the most divisive issues in Ame
Student,student_4,How do black holes form?,N/A (no qrels),4849390,1429974,1882908,2724637,1508264,89737,4535990,1508260,1689250,1152644,"Instead, a black hole uses the power of gravity to pull things towards it. How do black holes form? When a large star runs out of fuel it can no longe","Black holes can form in many ways though, and large black holes can have tens to millions of times the mass of our sun trapped in a point smaller than","A black hole generally forms after a star dies in a titanic explosion known as a supernova, which crushes the remaining core into dense lumps. A madde",Another contender for the title of smallest thing in the universe is the singularity at the center of a black hole. Black holes are formed when matter,"Note that as the energy (mass) increases here, the temperature goes down. For a black hole to form from the collapse of a star, the star must have mas",10 mind-blowing facts about black holes. Black holes are the only objects in the universe that can trap light by sheer gravitational force. Scientists,How is a black hole created? A common type of black hole is produced by certain dying stars. A star with a mass greater than about 20 times the mass o,"A black hole can be formed in many ways (throw in books, computers, etc.). After it settles down, spacetime outside is described by only M, J. The rad",A black hole is a region of spacetime exhibiting such strong gravitational effects that nothingâincluding particles and electromagnetic radiation su,The massive stars forms a neutron star when they collapse but stars having more than 9-10 solar masses produces a black hole when they die . Black hol
Student,student_5,What is the difference between machine learning and deep learning?,N/A (no qrels),7182927,7173630,774529,182547,7173628,774531,8114721,7173632,7173631,7173627,"What Is The Difference Between Deep Learning, Machine Learning and AI? Over the past few years, the term âdeep learningâ has firmly worked its way","What is Deep Learning and how is it different than traditional machine learning? Deep Neural Networks, a.k.a. Deep Learning is a method of machine lea",Deep Learning is the sub-field of Machine Learning which is the sub-field of Artificial Intelligence. Deep Learning is a set of algorithms that attemp,"Learn what machine learning and deep learning are, compare machine learning and deep learning, and learn about the future of machine learning and deep",Deep learning. Deep learning (also known as deep structured learning or hierarchical learning) is part of a broader family of machine learning methods,"Deep learning refers to both deep neural networks and other branches of machine learning like deep reinforcement learning. In the press, it usually me",Deep Learning is a subfield of machine learning concerned with algorithms inspired by the structure and function of the brain called artificial neural,"Deep learning is part of a broader family of machine learning methods based on learning representations of data. An observation (e.g., an image) can b","Deep learning is a collection of algorithms used in machine learning, used to model high-level abstractions in data through the use of model architect",Deep learning (also known as deep structured learning or hierarchical learning) is part of a broader family of machine learning methods based on learn
